Submission id,Participant id,Status,Age,Sex
SESS0675,P0531,APPROVED,52,Female
SESS0676,P0378,APPROVED,42,Female
SESS0677,P0894,APPROVED,33,Female
SESS0679,P0371,APPROVED,32,Female
SESS0680,P1103,APPROVED,20,Female
SESS0681,P0714,APPROVED,43,Female
SESS0682,P1091,APPROVED,33,Female
SESS0683,P0904,APPROVED,26,Male
SESS0685,P1276,APPROVED,44,Male
SESS0686,P1167,APPROVED,57,Male
SESS0687,P0434,APPROVED,33,Female
SESS0688,P0355,APPROVED,43,Female
SESS0689,P0509,APPROVED,34,Female
SESS0690,P0947,APPROVED,20,Female
SESS0691,P1196,APPROVED,31,Female
SESS0692,P1253,APPROVED,38,Female
SESS0695,P1317,APPROVED,31,Female
SESS0698,P0916,APPROVED,26,Female
SESS0699,P0654,APPROVED,25,Male
SESS0700,P1136,APPROVED,26,Female
SESS0701,P0593,APPROVED,30,Female
SESS0702,P1117,APPROVED,36,Female
SESS0703,P0487,APPROVED,28,Male
SESS0704,P0474,APPROVED,35,Female
SESS0705,P0928,APPROVED,34,Female
SESS0706,P0194,APPROVED,44,Female
SESS0708,P0570,APPROVED,38,Female
SESS0709,P0674,APPROVED,30,Female
SESS0710,P0438,APPROVED,31,Male
SESS0711,P1280,APPROVED,45,Female
SESS0712,P0305,APPROVED,34,Male
SESS0713,P0680,APPROVED,26,Female
SESS0714,P1311,APPROVED,41,Male
SESS0715,P0973,APPROVED,58,Male
SESS0717,P1310,APPROVED,34,Male
SESS0718,P0999,APPROVED,34,Male
SESS0719,P0261,APPROVED,33,Male
SESS0720,P0693,APPROVED,44,Male
SESS0722,P0864,APPROVED,22,Female
SESS0723,P0347,APPROVED,36,Male
SESS0724,P0872,APPROVED,31,Female
SESS0725,P0876,APPROVED,39,Prefer not to say
SESS0726,P0629,APPROVED,27,Female
SESS0727,P0626,APPROVED,27,Female
SESS0728,P0847,APPROVED,24,Female
SESS0729,P1092,APPROVED,28,Female
SESS0730,P1183,APPROVED,56,Female
SESS0731,P0893,APPROVED,33,Female
SESS0732,P0922,APPROVED,21,Female
SESS0733,P0413,APPROVED,26,Female
SESS0678,P0307,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0684,P0646,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0693,P0571,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0694,P0562,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0696,P0925,TIMED-OUT,38,Female
SESS0697,P1213,TIMED-OUT,41,Female
SESS0707,P0868,TIMED-OUT,26,Female
SESS0716,P0529,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0721,P1116,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
