sample,format,order,coding,n_words,mean,lo,hi,ci
Study 1A (English),forced choice,random,forced choice,664,0.2921457968010871,0.27539735219836664,0.3089637772154088,"0.29 [0.28, 0.31]"
Study 1B (English),forced choice,random,forced choice,624,0.2567863016208233,0.23910796075046026,0.273729843898341,"0.26 [0.24, 0.27]"
"Study 2A (Korean, in-country)",multiple selection,blocked,strict,258,0.5830918366336704,0.5640768576506012,0.6033132958253248,"0.58 [0.56, 0.60]"
"Study 2A (Korean, in-country)",multiple selection,blocked,broad,258,0.8756389231863704,0.8608947010744658,0.889181774353687,"0.88 [0.86, 0.89]"
"Study 2B (Korean, online)",forced choice,random,forced choice,247,0.4258305796767335,0.39168783842113797,0.4611166276930447,"0.43 [0.39, 0.46]"
English multi (random),multiple selection,random,strict,745,0.24201981463726432,0.2222052572706935,0.2616976669862576,"0.24 [0.22, 0.26]"
English multi (random),multiple selection,random,broad,745,0.326206455736657,0.3037935442633429,0.3481017897091724,"0.33 [0.30, 0.35]"
English multi (blocked),multiple selection,blocked,strict,659,0.223433774116627,0.19810670929980484,0.24976497579304868,"0.22 [0.20, 0.25]"
English multi (blocked),multiple selection,blocked,broad,659,0.5689970373581904,0.5378089999277407,0.5986947214394103,"0.57 [0.54, 0.60]"
"2x2: forced choice, random",forced choice,random,forced choice,736,0.32723861283643896,0.3043068225931677,0.352330082168737,"0.33 [0.30, 0.35]"
"2x2: forced choice, blocked",forced choice,blocked,forced choice,734,0.40500519008693403,0.37771936226806796,0.43164339237057225,"0.41 [0.38, 0.43]"
"2x2: multi-select, random",multiple selection,random,strict,742,0.28961301501732767,0.26664741368245415,0.3138467462456681,"0.29 [0.27, 0.31]"
"2x2: multi-select, random",multiple selection,random,broad,742,0.4688807598511102,0.444858249903735,0.49226102233346175,"0.47 [0.44, 0.49]"
"2x2: multi-select, blocked",multiple selection,blocked,strict,733,0.24436107321509784,0.2223428668875463,0.2666622003508086,"0.24 [0.22, 0.27]"
"2x2: multi-select, blocked",multiple selection,blocked,broad,733,0.5648606509452347,0.538654258429156,0.5905326284674852,"0.56 [0.54, 0.59]"
