dropped_language,n_obs,estimate,se,ci_low,ci_high,p
none (pooled model),3420,-0.28040603758773647,0.1120234234230088,-0.4999679129217144,-0.06084416225375855,0.012586471428289689
Cantonese,3188,-0.3113746667662841,0.11292639958953207,-0.532710409961767,-0.09003892357080126,0.006016264653586783
Catalan,3164,-0.27474931297019567,0.1138246205219101,-0.4978455691931395,-0.051653056747251874,0.01610650271415592
English (American),3129,-0.2856647160082436,0.11269119402212323,-0.5065394562916051,-0.0647899757248821,0.011513270987368145
English (Australian),3156,-0.28257543005212604,0.11284509537804661,-0.5037518169930975,-0.06139904311115468,0.012556576113387388
French (French),3191,-0.29081246741954897,0.1135982289095625,-0.5134649960822915,-0.06815993875680645,0.010720149057421073
Hebrew,3356,-0.27258488040554935,0.11330074695156003,-0.494654344430607,-0.05051541638049167,0.016449544889703478
Japanese,3170,-0.27976034717458736,0.11353682932210261,-0.5022925326459085,-0.05722816170326625,0.014043159545246937
Korean,3173,-0.30032362173891897,0.11268920485366461,-0.5211944632521016,-0.07945278022573632,0.007915594150795471
Mandarin (Beijing),3137,-0.280706712584803,0.11670892910510358,-0.5094562136308061,-0.05195721153879998,0.01648871231606034
Mandarin (Taiwanese),3133,-0.27386010539573424,0.1084486302224725,-0.48641942063178034,-0.061300790159688145,0.011839761346055517
Russian,3138,-0.2563138650891997,0.11493090222174515,-0.4815784334438202,-0.03104929673457918,0.026136234594938055
Spanish (European),3193,-0.29477082315100256,0.11459522247169558,-0.5193774591955259,-0.07016418710647923,0.010360549760732187
Spanish (Mexican),3187,-0.28451835725513924,0.11426615634686667,-0.5084800236949979,-0.06055669081528059,0.013059846850752796
Turkish,3145,-0.2706611639159155,0.1115060459884146,-0.4892130140532081,-0.05210931377862288,0.015530174544420976
