pool,language,n_words,n_solid,n_count,n_shape,n_intersect,med_raters_shape,mean_shape
1A_only,Cantonese,207,147,126,4,2,9,0.36242989089119215
1A_only,Catalan,233,158,132,2,2,10,0.3385743220141905
1A_only,English (American),260,172,146,5,3,9,0.33701131394973455
1A_only,English (Australian),238,157,139,4,3,9,0.34327538410096964
1A_only,French (French),202,139,121,4,3,9.5,0.3570674683495939
1A_only,Hebrew,63,36,29,1,1,9,0.3018168339596911
1A_only,Japanese,221,140,134,3,1,10,0.3525161004905753
1A_only,Kiswahili,73,46,37,0,0,10,0.3198590982837558
1A_only,Korean,224,156,125,3,2,10,0.3430418061103727
1A_only,Mandarin (Beijing),252,170,143,2,1,9,0.3466648457878194
1A_only,Mandarin (Taiwanese),262,177,154,3,2,9,0.3455851744171949
1A_only,Russian,249,171,131,4,3,9,0.33052337748432153
1A_only,Spanish (European),211,151,129,5,4,9,0.34413196043981564
1A_only,Spanish (Mexican),212,139,117,3,3,10,0.32374024357038206
1A_only,Spanish (Peruvian),46,29,25,0,0,9.5,0.3835888594908021
1A_only,Turkish,248,167,136,5,3,9,0.3179699472199043
pooled_FC_random,Cantonese,207,147,126,7,4,23,0.34904574696251994
pooled_FC_random,Catalan,233,158,132,3,2,23,0.3255748051980837
pooled_FC_random,English (American),260,172,146,5,3,23,0.32164965062806866
pooled_FC_random,English (Australian),238,157,139,5,3,23,0.3273522042248462
pooled_FC_random,French (French),202,139,121,5,3,24,0.3446395980486068
pooled_FC_random,Hebrew,63,36,29,1,1,22,0.26094579406422835
pooled_FC_random,Japanese,221,140,134,4,2,23,0.3334854970782627
pooled_FC_random,Kiswahili,73,46,37,1,1,23,0.3268319283771527
pooled_FC_random,Korean,224,156,125,6,4,23,0.32969138741151444
pooled_FC_random,Mandarin (Beijing),252,170,143,5,3,23,0.3336430843863236
pooled_FC_random,Mandarin (Taiwanese),262,177,154,5,3,23,0.3324396990317967
pooled_FC_random,Russian,249,171,131,3,2,23,0.3271665767078221
pooled_FC_random,Spanish (European),211,151,129,3,2,23,0.3357316662920774
pooled_FC_random,Spanish (Mexican),212,139,117,3,2,23,0.3148899709389313
pooled_FC_random,Spanish (Peruvian),46,29,25,0,0,23.5,0.37368540859565996
pooled_FC_random,Turkish,248,167,136,3,1,23,0.30607557896885235
