_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block,subject,study_id,session_id,uni_lemma,word,response_numeric,totcount
683a48799a4a688b481a1359,3805,survey-multi-choice,5,64126,0,0,material,steak,category_organization,NA,NA,NA,steak,steak,1,47
683a48799a4a688b481a1357,8796,survey-multi-choice,4,60317,0,0,shape,shovel,category_organization,NA,NA,NA,shovel,shovel,0,48
683a48799a4a688b481a135b,5447,survey-multi-choice,6,69577,0,0,material,radish,category_organization,NA,NA,NA,radish,radish,1,46
683a48799a4a688b481a135d,3838,survey-multi-choice,7,73420,0,0,shape,puzzle,category_organization,NA,NA,NA,puzzle,puzzle,0,44
683a48799a4a688b481a135f,4758,survey-multi-choice,8,78182,0,0,shape,finger,category_organization,NA,NA,NA,finger,finger,0,47
683a48799a4a688b481a1361,2785,survey-multi-choice,9,80972,0,0,material,bush,category_organization,NA,NA,NA,bush,bush,1,49
683a48799a4a688b481a1363,3522,survey-multi-choice,10,84497,0,0,material,yogurt drink,category_organization,NA,NA,NA,yogurt drink,yogurt drink,1,48
683a48799a4a688b481a1365,4220,survey-multi-choice,11,88720,0,0,material,sponge,category_organization,NA,NA,NA,sponge,sponge,1,44
683a48799a4a688b481a1367,5513,survey-multi-choice,12,94236,0,0,shape,closet,category_organization,NA,NA,NA,closet,closet,0,45
683a487a9a4a688b481a1369,14343,survey-multi-choice,13,108583,0,0,shape,pocket,category_organization,NA,NA,NA,pocket,pocket,0,45
683a488e9a4a688b481a1375,3503,survey-multi-choice,6,38557,0,0,none of these,sleeve,category_organization,NA,NA,NA,sleeve,sleeve,3,10
683a488e9a4a688b481a1379,4731,survey-multi-choice,4,30604,0,0,none of these,tractor,category_organization,NA,NA,NA,tractor,tractor,3,8
683a488e9a4a688b481a137b,4448,survey-multi-choice,5,35053,0,0,none of these,yogurt,category_organization,NA,NA,NA,yogurt,yogurt,3,10
683a488e9a4a688b481a137d,2755,survey-multi-choice,7,41313,0,0,none of these,light,category_organization,NA,NA,NA,light,light,3,10
683a488e9a4a688b481a137f,2668,survey-multi-choice,8,43983,0,0,none of these,whale,category_organization,NA,NA,NA,whale,whale,3,12
683a488e9a4a688b481a1381,2251,survey-multi-choice,9,46235,0,0,none of these,phone,category_organization,NA,NA,NA,phone,phone,3,8
683a488e9a4a688b481a1383,3494,survey-multi-choice,12,53685,0,0,none of these,hair dryer,category_organization,NA,NA,NA,hair dryer,hair dryer,3,14
683a488e9a4a688b481a1385,2375,survey-multi-choice,10,48610,0,0,none of these,eagle,category_organization,NA,NA,NA,eagle,eagle,3,18
683a488e9a4a688b481a1387,1578,survey-multi-choice,11,50189,0,0,none of these,turtle,category_organization,NA,NA,NA,turtle,turtle,3,12
683a488e9a4a688b481a1389,2053,survey-multi-choice,13,55739,0,0,none of these,bathtub,category_organization,NA,NA,NA,bathtub,bathtub,3,13
683a488e9a4a688b481a138b,2432,survey-multi-choice,15,60259,0,0,none of these,patio,category_organization,NA,NA,NA,patio,patio,3,10
683a488e9a4a688b481a138d,2086,survey-multi-choice,14,57826,0,0,none of these,boots,category_organization,NA,NA,NA,boots,boots,3,12
683a488e9a4a688b481a138f,2868,survey-multi-choice,16,63128,0,0,none of these,tofu,category_organization,NA,NA,NA,tofu,tofu,3,11
683a488e9a4a688b481a1391,4476,survey-multi-choice,18,68910,0,0,none of these,fly (animal),category_organization,NA,NA,NA,fly (animal),fly (animal),3,15
683a488e9a4a688b481a1393,1304,survey-multi-choice,17,64433,0,0,none of these,honey,category_organization,NA,NA,NA,honey,honey,3,9
683a488e9a4a688b481a1395,2744,survey-multi-choice,19,71654,0,0,none of these,frog,category_organization,NA,NA,NA,frog,frog,3,10
683a488e9a4a688b481a1397,7324,survey-multi-choice,20,78980,0,0,none of these,ice cream,category_organization,NA,NA,NA,ice cream,ice cream,3,11
683a488e9a4a688b481a1399,2363,survey-multi-choice,21,81344,0,0,none of these,kite,category_organization,NA,NA,NA,kite,kite,3,12
683a488e9a4a688b481a139b,1323,survey-multi-choice,22,82668,0,0,none of these,racket,category_organization,NA,NA,NA,racket,racket,3,10
683a488e9a4a688b481a139d,1299,survey-multi-choice,23,83968,0,0,none of these,melon,category_organization,NA,NA,NA,melon,melon,3,11
683a488f9a4a688b481a13af,7299,survey-multi-choice,6,113241,0,0,none of these,finger,category_organization,NA,NA,NA,finger,finger,3,47
