word,theword,block,response,response_numeric,totcount,uni_lemma,count,proportion,language,eng_response,cleaned_response,matching_response
accident,accident,category_organization,none of these,3,9,accident,9,1,Turkish,none of these,none of these,none of these
air conditioner,air conditioner,category_organization,none of these,3,8,air conditioner,4,0.5,Mandarin (Beijing),none of these,none of these,none of these
air conditioner,air conditioner,category_organization,none of these,3,8,air conditioner,4,0.5,Mandarin (Taiwanese),none of these,none of these,none of these
air conditioner,air conditioner,category_organization,none of these,3,8,air conditioner,4,0.5,Cantonese,none of these,none of these,none of these
air conditioner,air conditioner,category_organization,material,1,8,air conditioner,3,0.375,Mandarin (Beijing),material,material,material
air conditioner,air conditioner,category_organization,material,1,8,air conditioner,3,0.375,Mandarin (Taiwanese),material,material,material
air conditioner,air conditioner,category_organization,material,1,8,air conditioner,3,0.375,Cantonese,material,material,material
air conditioner,air conditioner,category_organization,shape,0,8,air conditioner,1,0.125,Mandarin (Beijing),shape,shape,shape
air conditioner,air conditioner,category_organization,shape,0,8,air conditioner,1,0.125,Mandarin (Taiwanese),shape,shape,shape
air conditioner,air conditioner,category_organization,shape,0,8,air conditioner,1,0.125,Cantonese,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Cantonese,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Korean,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Mandarin (Taiwanese),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,French (French),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Mandarin (Beijing),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Spanish (European),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Turkish,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Spanish (Peruvian),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,English (American),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Catalan,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Russian,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Kiswahili,shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,English (Australian),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Spanish (Mexican),shape,shape,shape
airplane,airplane,category_organization,shape,0,8,airplane,4,0.5,Japanese,shape,shape,shape
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Cantonese,none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Korean,none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Mandarin (Taiwanese),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,French (French),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Mandarin (Beijing),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Spanish (European),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Turkish,none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Spanish (Peruvian),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,English (American),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Catalan,none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Russian,none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Kiswahili,none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,English (Australian),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Spanish (Mexican),none of these,none of these,none of these
airplane,airplane,category_organization,none of these,3,8,airplane,4,0.5,Japanese,none of these,none of these,none of these
alligator,alligator,category_organization,material,1,9,alligator,2,0.2222222222222222,Mandarin (Taiwanese),material,material,material
alligator,alligator,category_organization,material,1,9,alligator,2,0.2222222222222222,English (American),material,material,material
alligator,alligator,category_organization,material,1,9,alligator,2,0.2222222222222222,Mandarin (Beijing),material,material,material
alligator,alligator,category_organization,none of these,3,9,alligator,3,0.3333333333333333,Mandarin (Taiwanese),none of these,none of these,none of these
alligator,alligator,category_organization,none of these,3,9,alligator,3,0.3333333333333333,English (American),none of these,none of these,none of these
alligator,alligator,category_organization,none of these,3,9,alligator,3,0.3333333333333333,Mandarin (Beijing),none of these,none of these,none of these
alligator,alligator,category_organization,shape,0,9,alligator,4,0.4444444444444444,Mandarin (Taiwanese),shape,shape,shape
alligator,alligator,category_organization,shape,0,9,alligator,4,0.4444444444444444,English (American),shape,shape,shape
alligator,alligator,category_organization,shape,0,9,alligator,4,0.4444444444444444,Mandarin (Beijing),shape,shape,shape
ambulance,ambulance,category_organization,none of these,3,11,ambulance,6,0.5454545454545454,Spanish (European),none of these,none of these,none of these
ambulance,ambulance,category_organization,none of these,3,11,ambulance,6,0.5454545454545454,Turkish,none of these,none of these,none of these
ambulance,ambulance,category_organization,none of these,3,11,ambulance,6,0.5454545454545454,Catalan,none of these,none of these,none of these
ambulance,ambulance,category_organization,none of these,3,11,ambulance,6,0.5454545454545454,Mandarin (Taiwanese),none of these,none of these,none of these
ambulance,ambulance,category_organization,none of these,3,11,ambulance,6,0.5454545454545454,Hebrew,none of these,none of these,none of these
ambulance,ambulance,category_organization,material,1,11,ambulance,2,0.18181818181818182,Spanish (European),material,material,material
ambulance,ambulance,category_organization,material,1,11,ambulance,2,0.18181818181818182,Turkish,material,material,material
ambulance,ambulance,category_organization,material,1,11,ambulance,2,0.18181818181818182,Catalan,material,material,material
ambulance,ambulance,category_organization,material,1,11,ambulance,2,0.18181818181818182,Mandarin (Taiwanese),material,material,material
ambulance,ambulance,category_organization,material,1,11,ambulance,2,0.18181818181818182,Hebrew,material,material,material
ambulance,ambulance,category_organization,shape,0,11,ambulance,3,0.2727272727272727,Spanish (European),shape,shape,shape
ambulance,ambulance,category_organization,shape,0,11,ambulance,3,0.2727272727272727,Turkish,shape,shape,shape
ambulance,ambulance,category_organization,shape,0,11,ambulance,3,0.2727272727272727,Catalan,shape,shape,shape
ambulance,ambulance,category_organization,shape,0,11,ambulance,3,0.2727272727272727,Mandarin (Taiwanese),shape,shape,shape
ambulance,ambulance,category_organization,shape,0,11,ambulance,3,0.2727272727272727,Hebrew,shape,shape,shape
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Mandarin (Taiwanese),none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Turkish,none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Spanish (Mexican),none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Mandarin (Beijing),none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Catalan,none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Japanese,none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,English (American),none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Cantonese,none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Spanish (European),none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,Korean,none of these,none of these,none of these
animal,animal,category_organization,none of these,3,12,animal,8,0.6666666666666666,English (Australian),none of these,none of these,none of these
animal,animal,category_organization,shape,0,12,animal,2,0.16666666666666666,Mandarin (Taiwanese),shape,shape,shape
animal,animal,category_organization,shape,0,12,animal,2,0.16666666666666666,Turkish,shape,shape,shape
