_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block
ROW13792,41798,instructions,0,41800,0,P0256,STUDY0004,SESS0488,0,,,
ROW13793,2974,instructions,1,44775,0,P0256,STUDY0004,SESS0488,0,,,
ROW13794,22975,html-button-response,2,67753,0,P0256,STUDY0004,SESS0488,0,0,,
ROW13795,1704,html-button-response,3,69458,0,P0256,STUDY0004,SESS0488,0,0,,
ROW13796,5598,survey-multi-choice,4,75058,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""shape""}",square,practice_category
ROW13797,853,html-button-response,5,75912,0,P0256,STUDY0004,SESS0488,0,0,,
ROW13798,3719,survey-multi-choice,6,79633,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""color""}",red,practice_category
ROW13799,775,html-button-response,7,80410,0,P0256,STUDY0004,SESS0488,0,0,,
ROW13800,938,html-button-response,9,84406,0,P0256,STUDY0004,SESS0488,0,0,,
ROW13801,3055,survey-multi-choice,8,83466,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""material""}",wooden,practice_category
ROW13802,1365,html-button-response,10,85773,0,P0256,STUDY0004,SESS0488,0,0,,
ROW13803,4871,survey-multi-choice,11,90645,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""shape""}",water (beverage),category_organization
ROW13804,9571,survey-multi-choice,12,100218,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""color""}",dress (object),category_organization
ROW13805,3137,survey-multi-choice,13,103356,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""material""}",sandwich,category_organization
ROW13806,2492,survey-multi-choice,14,105850,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""material""}",hamburger,category_organization
ROW13807,2128,survey-multi-choice,15,107980,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""color""}",flag,category_organization
ROW13808,4395,survey-multi-choice,16,112377,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""material""}",wall,category_organization
ROW13809,7618,survey-multi-choice,17,119996,0,P0256,STUDY0004,SESS0488,0,"{""Q0"":""shape""}",telephone,category_organization
