subject,response_format,word_order,condition_code,n_cat_trials,median_rt_ms,mean_rt_ms,min_rt_ms,frac_under_1s,lavender_trials,att_pass,flag_explicit_id,flag_no_attention,flag_fast,reject_reasons,decision
P0011,multi_select,random,ms_random,20,4598.5,5575,3220,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0014,forced_choice,semantic_blocked,fc_blocked,20,2563,2934,1462,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0019,forced_choice,semantic_blocked,fc_blocked,20,1610.5,5180,1312,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0022,multi_select,random,ms_random,20,2178,2681,1199,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0026,multi_select,semantic_blocked,ms_blocked,20,3630,4361,2230,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0031,multi_select,semantic_blocked,ms_blocked,20,9333,10361,4407,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0043,multi_select,random,ms_random,20,5832.5,6017,3477,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0045,forced_choice,semantic_blocked,fc_blocked,20,8215,9706,5524,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0050,multi_select,random,ms_random,20,13340.5,14822,7127,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0057,forced_choice,random,fc_random,20,7488,7779,4517,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0062,multi_select,random,ms_random,20,7770.5,8656,3771,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0069,forced_choice,semantic_blocked,fc_blocked,20,2114,2378,1294,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0070,multi_select,semantic_blocked,ms_blocked,20,3466.5,3737,2343,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P0076,multi_select,semantic_blocked,ms_blocked,20,3404,3910,2485,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
