word,block,response,totcount,uni_lemma,eng_response,theword,count,proportion,language,matching_response
가방,category_organization,형태,5,bag,form,가방,5,1,Korean,shape
가방,count_mass,셀 수 있다,1,bag,countable,가방,1,1,Korean,countable
가방,solidity,고형물,10,bag,solid,가방,10,1,Korean,solid
가위,category_organization,물질,3,scissors,substance,가위,3,1,Korean,substance
가위,count_mass,셀 수 있다,7,scissors,countable,가위,7,1,Korean,countable
가위,solidity,고형물,2,scissors,solid,가위,2,1,Korean,solid
감,category_organization,물질,10,Persimmon,substance,감,5,0.5,Korean,substance
감,category_organization,해당 사항 없음,10,Persimmon,not applicable,감,2,0.2,Korean,not applicable
감,category_organization,형태,10,Persimmon,form,감,3,0.3,Korean,shape
감,count_mass,셀 수 있다,4,Persimmon,countable,감,4,1,Korean,countable
감,solidity,고형물,10,Persimmon,solid,감,7,0.7,Korean,solid
감,solidity,비고형물,10,Persimmon,non-solid,감,2,0.2,Korean,non-solid
감,solidity,해당 사항 없음,10,Persimmon,not applicable,감,1,0.1,Korean,not applicable
감자,category_organization,물질,6,potato,substance,감자,4,0.6666666666666666,Korean,substance
감자,category_organization,해당 사항 없음,6,potato,not applicable,감자,1,0.16666666666666666,Korean,not applicable
감자,category_organization,형태,6,potato,form,감자,1,0.16666666666666666,Korean,shape
감자,count_mass,셀 수 있다,5,potato,countable,감자,5,1,Korean,countable
감자,solidity,고형물,12,potato,solid,감자,11,0.9166666666666666,Korean,solid
감자,solidity,비고형물,12,potato,non-solid,감자,1,0.08333333333333333,Korean,non-solid
개,category_organization,물질,7,dog,substance,개,1,0.14285714285714285,Korean,substance
개,category_organization,색상,7,dog,color,개,1,0.14285714285714285,Korean,color
개,category_organization,해당 사항 없음,7,dog,not applicable,개,2,0.2857142857142857,Korean,not applicable
개,category_organization,형태,7,dog,form,개,3,0.42857142857142855,Korean,shape
개,count_mass,셀 수 없다,10,dog,uncountable,개,1,0.1,Korean,uncountable
개,count_mass,셀 수 있다,10,dog,countable,개,9,0.9,Korean,countable
개,solidity,고형물,8,dog,solid,개,7,0.875,Korean,solid
개,solidity,해당 사항 없음,8,dog,not applicable,개,1,0.125,Korean,not applicable
개구리,category_organization,색상,8,frog,color,개구리,2,0.25,Korean,color
개구리,category_organization,해당 사항 없음,8,frog,not applicable,개구리,2,0.25,Korean,not applicable
개구리,category_organization,형태,8,frog,form,개구리,4,0.5,Korean,shape
개구리,count_mass,셀 수 있다,4,frog,countable,개구리,4,1,Korean,countable
개구리,solidity,고형물,9,frog,solid,개구리,8,0.8888888888888888,Korean,solid
개구리,solidity,해당 사항 없음,9,frog,not applicable,개구리,1,0.1111111111111111,Korean,not applicable
개미,category_organization,물질,4,ant,substance,개미,2,0.5,Korean,substance
개미,category_organization,해당 사항 없음,4,ant,not applicable,개미,1,0.25,Korean,not applicable
개미,category_organization,형태,4,ant,form,개미,1,0.25,Korean,shape
