Word,block,response,totcount,theword,proportion,uni_lemma,language,eng_response,matching_response,cleaned_response
Animal,category_organization,Form,29,동물,0.5862068965517241,Animal,Korean,Form,shape,form
Animal,category_organization,"Form, Color",29,동물,0.06896551724137931,Animal,Korean,"Form, Color",multiple,form color
Animal,category_organization,"Form, Color, Material",29,동물,0.13793103448275862,Animal,Korean,"Form, Color, Material",multiple,form color material
Animal,category_organization,"Form, Material",29,동물,0.10344827586206896,Animal,Korean,"Form, Material",multiple,form material
Animal,category_organization,Material,29,동물,0.03448275862068965,Animal,Korean,Material,material,material
Animal,category_organization,Not applicable,29,동물,0.06896551724137931,Animal,Korean,Not applicable,none of these,not applicable
Animal,count_mass,Can be counted,29,동물,0.8620689655172413,Animal,Korean,Can be counted,count,can be counted
Animal,count_mass,Cannot be counted,29,동물,0.034482758620689655,Animal,Korean,Cannot be counted,mass,cannot be counted
Animal,count_mass,I don't know/It's hard to say,29,동물,0.10344827586206896,Animal,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Animal,solidity,I don't know/It's hard to say,29,동물,0.27586206896551724,Animal,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Animal,solidity,Not a solid,29,동물,0.10344827586206896,Animal,Korean,Not a solid,non-solid,not a solid
Animal,solidity,Solid,29,동물,0.6206896551724138,Animal,Korean,Solid,solid,solid
Ankle,category_organization,Form,29,발목,0.8620689655172413,Ankle,Korean,Form,shape,form
Ankle,category_organization,"Form, Material",29,발목,0.10344827586206896,Ankle,Korean,"Form, Material",multiple,form material
Ankle,category_organization,Material,29,발목,0.03448275862068965,Ankle,Korean,Material,material,material
Ankle,count_mass,Can be counted,29,발목,1,Ankle,Korean,Can be counted,count,can be counted
Ankle,solidity,I don't know/It's hard to say,29,발목,0.2413793103448276,Ankle,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Ankle,solidity,Not a solid,29,발목,0.10344827586206896,Ankle,Korean,Not a solid,non-solid,not a solid
Ankle,solidity,Solid,29,발목,0.6551724137931034,Ankle,Korean,Solid,solid,solid
Ant,category_organization,Color,29,개미,0.03448275862068965,Ant,Korean,Color,color,color
Ant,category_organization,Form,29,개미,0.6206896551724138,Ant,Korean,Form,shape,form
Ant,category_organization,"Form, Color",29,개미,0.10344827586206896,Ant,Korean,"Form, Color",multiple,form color
Ant,category_organization,"Form, Color, Material",29,개미,0.10344827586206896,Ant,Korean,"Form, Color, Material",multiple,form color material
Ant,category_organization,"Form, Material",29,개미,0.10344827586206896,Ant,Korean,"Form, Material",multiple,form material
Ant,category_organization,Material,29,개미,0.03448275862068965,Ant,Korean,Material,material,material
Ant,count_mass,Can be counted,29,개미,0.896551724137931,Ant,Korean,Can be counted,count,can be counted
Ant,count_mass,Cannot be counted,29,개미,0.10344827586206896,Ant,Korean,Cannot be counted,mass,cannot be counted
Ant,solidity,I don't know/It's hard to say,29,개미,0.27586206896551724,Ant,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Ant,solidity,Not a solid,29,개미,0.10344827586206896,Ant,Korean,Not a solid,non-solid,not a solid
Ant,solidity,Solid,29,개미,0.6206896551724138,Ant,Korean,Solid,solid,solid
Anus,category_organization,Form,29,똥꼬,0.7586206896551724,Anus,Korean,Form,shape,form
Anus,category_organization,"Form, Color",29,똥꼬,0.03448275862068965,Anus,Korean,"Form, Color",multiple,form color
Anus,category_organization,"Form, Material",29,똥꼬,0.13793103448275862,Anus,Korean,"Form, Material",multiple,form material
Anus,category_organization,Material,29,똥꼬,0.03448275862068965,Anus,Korean,Material,material,material
Anus,category_organization,Not applicable,29,똥꼬,0.03448275862068965,Anus,Korean,Not applicable,none of these,not applicable
Anus,count_mass,Can be counted,29,똥꼬,0.896551724137931,Anus,Korean,Can be counted,count,can be counted
Anus,count_mass,Cannot be counted,29,똥꼬,0.10344827586206896,Anus,Korean,Cannot be counted,mass,cannot be counted
Anus,solidity,I don't know/It's hard to say,29,똥꼬,0.3103448275862069,Anus,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Anus,solidity,Not a solid,29,똥꼬,0.10344827586206896,Anus,Korean,Not a solid,non-solid,not a solid
Anus,solidity,Solid,29,똥꼬,0.5862068965517241,Anus,Korean,Solid,solid,solid
Apple,category_organization,Form,29,사과,0.4482758620689655,Apple,Korean,Form,shape,form
Apple,category_organization,"Form, Color",29,사과,0.13793103448275862,Apple,Korean,"Form, Color",multiple,form color
Apple,category_organization,"Form, Color, Material",29,사과,0.1724137931034483,Apple,Korean,"Form, Color, Material",multiple,form color material
Apple,category_organization,"Form, Material",29,사과,0.13793103448275862,Apple,Korean,"Form, Material",multiple,form material
Apple,category_organization,Material,29,사과,0.10344827586206896,Apple,Korean,Material,material,material
Apple,count_mass,Can be counted,29,사과,1,Apple,Korean,Can be counted,count,can be counted
Apple,solidity,I don't know/It's hard to say,29,사과,0.10344827586206896,Apple,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Apple,solidity,Not a solid,29,사과,0.06896551724137931,Apple,Korean,Not a solid,non-solid,not a solid
Apple,solidity,Solid,29,사과,0.8275862068965517,Apple,Korean,Solid,solid,solid
Arm,category_organization,Form,29,팔,0.8620689655172413,Arm,Korean,Form,shape,form
Arm,category_organization,"Form, Material",29,팔,0.10344827586206896,Arm,Korean,"Form, Material",multiple,form material
Arm,category_organization,Material,29,팔,0.03448275862068965,Arm,Korean,Material,material,material
Arm,count_mass,Can be counted,29,팔,1,Arm,Korean,Can be counted,count,can be counted
Arm,solidity,I don't know/It's hard to say,29,팔,0.20689655172413793,Arm,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Arm,solidity,Not a solid,29,팔,0.10344827586206896,Arm,Korean,Not a solid,non-solid,not a solid
Arm,solidity,Solid,29,팔,0.6896551724137931,Arm,Korean,Solid,solid,solid
Back,category_organization,Form,29,등,0.7931034482758621,Back,Korean,Form,shape,form
Back,category_organization,"Form, Material",29,등,0.10344827586206896,Back,Korean,"Form, Material",multiple,form material
Back,category_organization,Material,29,등,0.06896551724137931,Back,Korean,Material,material,material
Back,category_organization,Not applicable,29,등,0.03448275862068965,Back,Korean,Not applicable,none of these,not applicable
Back,count_mass,Can be counted,29,등,0.7241379310344828,Back,Korean,Can be counted,count,can be counted
Back,count_mass,Cannot be counted,29,등,0.1724137931034483,Back,Korean,Cannot be counted,mass,cannot be counted
Back,count_mass,I don't know/It's hard to say,29,등,0.10344827586206896,Back,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Back,solidity,I don't know/It's hard to say,29,등,0.2413793103448276,Back,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Back,solidity,Not a solid,29,등,0.10344827586206896,Back,Korean,Not a solid,non-solid,not a solid
Back,solidity,Solid,29,등,0.6551724137931034,Back,Korean,Solid,solid,solid
Bag,category_organization,Form,29,가방,0.6551724137931034,Bag,Korean,Form,shape,form
Bag,category_organization,"Form, Color",29,가방,0.03448275862068965,Bag,Korean,"Form, Color",multiple,form color
Bag,category_organization,"Form, Color, Material",29,가방,0.13793103448275862,Bag,Korean,"Form, Color, Material",multiple,form color material
Bag,category_organization,"Form, Material",29,가방,0.13793103448275862,Bag,Korean,"Form, Material",multiple,form material
Bag,category_organization,Material,29,가방,0.03448275862068965,Bag,Korean,Material,material,material
Bag,count_mass,Can be counted,29,가방,1,Bag,Korean,Can be counted,count,can be counted
Bag,solidity,I don't know/It's hard to say,29,가방,0.034482758620689655,Bag,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bag,solidity,Solid,29,가방,0.9655172413793104,Bag,Korean,Solid,solid,solid
Ball,category_organization,Color,29,공,0.03448275862068965,Ball,Korean,Color,color,color
Ball,category_organization,Form,29,공,0.6206896551724138,Ball,Korean,Form,shape,form
Ball,category_organization,"Form, Color, Material",29,공,0.06896551724137931,Ball,Korean,"Form, Color, Material",multiple,form color material
Ball,category_organization,"Form, Material",29,공,0.20689655172413793,Ball,Korean,"Form, Material",multiple,form material
Ball,category_organization,Material,29,공,0.06896551724137931,Ball,Korean,Material,material,material
Ball,count_mass,Can be counted,29,공,0.9655172413793104,Ball,Korean,Can be counted,count,can be counted
Ball,count_mass,I don't know/It's hard to say,29,공,0.034482758620689655,Ball,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Ball,solidity,I don't know/It's hard to say,29,공,0.06896551724137931,Ball,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Ball,solidity,Solid,29,공,0.9310344827586207,Ball,Korean,Solid,solid,solid
Balloon,category_organization,Color,29,풍선,0.03448275862068965,Balloon,Korean,Color,color,color
Balloon,category_organization,Form,29,풍선,0.3793103448275862,Balloon,Korean,Form,shape,form
Balloon,category_organization,"Form, Color",29,풍선,0.03448275862068965,Balloon,Korean,"Form, Color",multiple,form color
Balloon,category_organization,"Form, Color, Material",29,풍선,0.13793103448275862,Balloon,Korean,"Form, Color, Material",multiple,form color material
Balloon,category_organization,"Form, Material",29,풍선,0.3103448275862069,Balloon,Korean,"Form, Material",multiple,form material
Balloon,category_organization,Material,29,풍선,0.10344827586206896,Balloon,Korean,Material,material,material
