language,uni_lemma,lexical_category,category,freq,concreteness,intercept,slope,aoa,count_noun,mass_noun,material_s1,non_solid,none_of_these_s1,unclear_countmass,unclear_solid,solid,color_s1,none_of_these_s2,material_s2,color_s2,logfreq,shape_s1,shape_s2,mean_shape
Cantonese,air conditioner,nouns,furniture_rooms,-1.6571923740779029,0.8160725526089267,-8.265450979263262,0.3001696806829189,27.535928880153573,0.625,0.25,0.5,0.5,0.125,0.125,0,0.5,0,0.5,0.375,0,-1.6571923740779029,0.375,0.125,0.25
Cantonese,airplane,nouns,vehicles,0.4649531626954781,0.8463044561166753,-6.737833487445162,0.30016268148461733,22.447272439463667,0.9,0.1,0.2,0,0.5,0,0,1,0,0.5,0,0,0.4649531626954781,0.3,0.5,0.4
Cantonese,animal,nouns,animals,0.13829034562792372,0.4935989151929453,-9.057882900579692,0.30009469929298277,30.183415175009376,0.7,0.1,0.2222222222222222,0.125,0.6666666666666666,0.2,0.125,0.75,0,0.6666666666666666,0.16666666666666666,0,0.13829034562792372,0.1111111111111111,0.16666666666666666,0.1388888888888889
Cantonese,ant,nouns,animals,-0.32187256836816625,0.7455314444241812,-7.968986552396833,0.2999569696881439,26.56709914319359,0.5,0.5,0.08333333333333333,0.42857142857142855,0.5833333333333334,0,0.14285714285714285,0.42857142857142855,0.08333333333333333,0.7142857142857143,0.07142857142857142,0.07142857142857142,-0.32187256836816625,0.25,0.14285714285714285,0.19642857142857142
Cantonese,apple,nouns,food_drink,0.5370248953815476,0.8866136607936731,-6.482330118766176,0.299990679745177,21.608438383060776,1,0,0.125,0,0.125,0,0,1,0,0.2727272727272727,0.3636363636363637,0.2727272727272727,0.5370248953815476,0.75,0.09090909090909093,0.42045454545454547
Cantonese,back (body part),nouns,body_parts,-0.7839490279119324,0.21143448245396068,-8.426747534095133,0.3000315142388823,28.086208062083223,0.625,0.125,0,0.18181818181818185,0.7272727272727273,0.25,0.18181818181818185,0.6363636363636364,0,0.3333333333333333,0.1111111111111111,0,-0.7839490279119324,0.2727272727272727,0.5555555555555556,0.41414141414141414
Cantonese,bag,nouns,household,0.4956382879961178,0.785840649101179,-6.800559223424945,0.3000698975183396,22.663250394882777,0.875,0.125,0.4444444444444444,0,0.1111111111111111,0,0.2222222222222222,0.7777777777777778,0,0.2222222222222222,0.3333333333333333,0,0.4956382879961178,0.4444444444444444,0.4444444444444444,0.4444444444444444
Cantonese,banana,nouns,food_drink,0.11150767617955368,0.8866136607936731,-6.341988199725138,0.29995635686483957,21.143036493748458,0.8571428571428571,0.14285714285714285,0.125,0.2,0.375,0,0,0.8,0,0.4117647058823529,0.1176470588235294,0.0588235294117647,0.11150767617955368,0.5,0.4117647058823529,0.45588235294117646
Cantonese,basin,nouns,household,-0.4856781888448655,0.5137535175314437,-8.232425790150666,0.29989879441110684,27.45067984123172,0.9090909090909092,0,0.125,0.16666666666666666,0.25,0.09090909090909093,0,0.8333333333333334,0,0.3333333333333333,0.2222222222222222,0,-0.4856781888448655,0.625,0.4444444444444444,0.5347222222222222
Cantonese,bathroom,nouns,furniture_rooms,0.37729948474150504,0.40290320466969953,-7.342429176206615,0.30027565369528275,24.45229603482156,0.7142857142857143,0.14285714285714285,0.1,0.14285714285714285,0.7,0.14285714285714285,0.14285714285714285,0.7142857142857143,0,1,0,0,0.37729948474150504,0.2,0,0.1
