uni_lemma,response_norm,block,proportion,sample
airplane,shape,category_organization,0.3,eng1
airplane,count,count_mass,0.9,eng1
airplane,solid,solidity,1,eng1
animal,shape,category_organization,0.1111111111111111,eng1
animal,count,count_mass,0.7,eng1
animal,solid,solidity,0.75,eng1
ankle,solid,solidity,1,eng1
ankle,shape,category_organization,0.2857142857142857,eng1
ankle,count,count_mass,1,eng1
ant,shape,category_organization,0.25,eng1
ant,count,count_mass,0.5,eng1
ant,solid,solidity,0.42857142857142855,eng1
apple,solid,solidity,1,eng1
apple,shape,category_organization,0.75,eng1
apple,count,count_mass,1,eng1
arm,shape,category_organization,0.6,eng1
arm,count,count_mass,0.8888888888888888,eng1
arm,solid,solidity,0.8333333333333334,eng1
back (body part),count,count_mass,0.625,eng1
back (body part),shape,category_organization,0.2727272727272727,eng1
back (body part),solid,solidity,0.6363636363636364,eng1
bag,solid,solidity,0.7777777777777778,eng1
bag,shape,category_organization,0.4444444444444444,eng1
bag,count,count_mass,0.875,eng1
balloon,count,count_mass,0.8,eng1
balloon,shape,category_organization,0.6153846153846154,eng1
balloon,solid,solidity,0.16666666666666666,eng1
banana,shape,category_organization,0.5,eng1
banana,solid,solidity,0.8,eng1
banana,count,count_mass,0.8571428571428571,eng1
bathroom,shape,category_organization,0.2,eng1
bathroom,count,count_mass,0.7142857142857143,eng1
bathroom,solid,solidity,0.7142857142857143,eng1
bathtub,shape,category_organization,0.3076923076923077,eng1
bathtub,count,count_mass,0.6,eng1
bathtub,solid,solidity,1,eng1
beans,solid,solidity,0.5,eng1
beans,shape,category_organization,0.16666666666666666,eng1
beans,count,count_mass,0.5555555555555556,eng1
bear,shape,category_organization,0.125,eng1
bear,count,count_mass,0.8333333333333334,eng1
bear,solid,solidity,1,eng1
bed,shape,category_organization,0.75,eng1
bed,count,count_mass,1,eng1
bed,solid,solidity,1,eng1
bee,shape,category_organization,0.25,eng1
bee,count,count_mass,1,eng1
bee,solid,solidity,0.8571428571428571,eng1
belly button,count,count_mass,0.8888888888888888,eng1
belly button,solid,solidity,0.4444444444444444,eng1
belly button,shape,category_organization,0.5,eng1
belt,count,count_mass,1,eng1
belt,shape,category_organization,0.42857142857142855,eng1
belt,solid,solidity,1,eng1
bicycle,shape,category_organization,0.75,eng1
bicycle,count,count_mass,0.8888888888888888,eng1
bicycle,solid,solidity,1,eng1
bird,solid,solidity,1,eng1
bird,shape,category_organization,0.125,eng1
bird,count,count_mass,0.9,eng1
blanket,shape,category_organization,0.25,eng1
blanket,solid,solidity,0.8333333333333334,eng1
blanket,count,count_mass,0.875,eng1
blocks,shape,category_organization,0.9,eng1
blocks,count,count_mass,0.75,eng1
blocks,solid,solidity,1,eng1
blood,count,count_mass,0.25,eng1
boat,shape,category_organization,0.375,eng1
boat,count,count_mass,1,eng1
boat,solid,solidity,1,eng1
body,solid,solidity,0.8571428571428571,eng1
body,count,count_mass,0.625,eng1
body,shape,category_organization,0.3333333333333333,eng1
book,shape,category_organization,0.375,eng1
book,count,count_mass,0.8,eng1
book,solid,solidity,0.8333333333333334,eng1
bottle,shape,category_organization,0.6666666666666666,eng1
bottle,count,count_mass,0.8333333333333334,eng1
bottle,solid,solidity,0.8888888888888888,eng1
boulder,solid,solidity,1,eng1
boulder,shape,category_organization,0.5454545454545454,eng1
boulder,count,count_mass,0.75,eng1
bowl,shape,category_organization,0.7777777777777778,eng1
bowl,count,count_mass,0.8333333333333334,eng1
bowl,solid,solidity,1,eng1
box,count,count_mass,1,eng1
box,shape,category_organization,0.7142857142857143,eng1
box,solid,solidity,0.8571428571428571,eng1
broom,shape,category_organization,0.625,eng1
broom,count,count_mass,0.6666666666666666,eng1
broom,solid,solidity,1,eng1
bubbles,shape,category_organization,0.5454545454545454,eng1
bubbles,count,count_mass,0.4444444444444444,eng1
bug,shape,category_organization,0.18181818181818185,eng1
bug,count,count_mass,0.7142857142857143,eng1
bug,solid,solidity,0.75,eng1
bunny,solid,solidity,0.8571428571428571,eng1
bunny,shape,category_organization,0.3,eng1
bunny,count,count_mass,0.8571428571428571,eng1
bus,shape,category_organization,0.5,eng1
bus,count,count_mass,1,eng1
bus,solid,solidity,0.875,eng1
butt,count,count_mass,0.5454545454545454,eng1
butt,shape,category_organization,0.25,eng1
butt,solid,solidity,0.5,eng1
butterfly,solid,solidity,0.7142857142857143,eng1
butterfly,shape,category_organization,0.375,eng1
butterfly,count,count_mass,0.6666666666666666,eng1
button,solid,solidity,1,eng1
button,shape,category_organization,0.375,eng1
button,count,count_mass,0.8333333333333334,eng1
cabbage,shape,category_organization,0.3636363636363637,eng1
cabbage,count,count_mass,0.6666666666666666,eng1
cabbage,solid,solidity,1,eng1
