uni_lemma,english_s1,english_s2,korean_s1,korean_s2,language,lexical_category,category,freq,concreteness,intercept,slope,aoa,logfreq
airplane,0.3,0.5,0.3333333333333333,0.6428571428571429,Korean,nouns,vehicles,0.9996824097773086,0.825329576937764,-6.984642764649531,0.3000206961858892,23.28053648779593,0.9996824097773086
animal,0.1111111111111111,0.16666666666666666,0.5,0.5862068965517241,Korean,nouns,animals,0.4021046765363542,0.4799478447818661,-8.630330735659784,0.299704252114664,28.79615712745344,0.4021046765363542
ankle,0.2857142857142857,0.5,0.625,0.8620689655172413,Korean,nouns,body_parts,-1.8923679379548188,0.6773088345852358,-10.026421054642343,0.2996115828103835,33.46473110483118,-1.8923679379548188
ant,0.25,0.14285714285714285,0.25,0.6206896551724138,Korean,nouns,animals,0.18654018925395743,0.7266490820360791,-7.558057091576439,0.29979569059737693,25.210692910615737,0.18654018925395743
apple,0.75,0.09090909090909093,0.1111111111111111,0.4482758620689655,Korean,nouns,food_drink,0.9424535606707758,0.8648017748984381,-6.429850775240617,0.30002063475774915,21.43136181427115,0.9424535606707758
arm,0.6,0.5555555555555556,0.4615384615384616,0.8620689655172413,Korean,nouns,body_parts,0.5361816127552277,0.825329576937764,-7.378748761487383,0.2999870439121021,24.596891469917608,0.5361816127552277
back (body part),0.2727272727272727,0.5555555555555556,0.2,0.7931034482758621,Korean,nouns,body_parts,-0.0351103209294904,0.20364245905714717,-8.21951386565323,0.29986680976795993,27.4105489434245,-0.0351103209294904
bag,0.4444444444444444,0.4444444444444444,1,0.6551724137931034,Korean,nouns,clothing,0.15048649609459608,0.7661212799967533,-6.688709996847673,0.3000357961148475,22.293039975428044,0.15048649609459608
balloon,0.6153846153846154,0.25,0.3333333333333333,0.3793103448275862,Korean,nouns,toys,-0.06921418901645653,0.7858573789770898,-6.702435464979565,0.30001769909727666,22.340133549275677,-0.06921418901645653
banana,0.5,0.4117647058823529,0.75,0.4827586206896552,Korean,nouns,food_drink,0.42652454841882825,0.8648017748984381,-6.333678919902112,0.30001233192527654,21.111395252511247,0.42652454841882825
bathtub,0.3076923076923077,0.3,0.42857142857142855,0.6206896551724138,Korean,nouns,furniture_rooms,-0.817067549044895,0.7858573789770898,-8.276071011333764,0.2997692721677622,27.60813658947059,-0.817067549044895
bear,0.125,0.1111111111111111,0.3333333333333333,0.6551724137931034,Korean,nouns,animals,1.0978345289263804,0.7463851810164157,-6.6900713565103835,0.29993875605725845,22.30479129957199,1.0978345289263804
bed,0.75,0.5,0.7142857142857143,0.6896551724137931,Korean,nouns,furniture_rooms,-0.14350794809144043,0.8648017748984381,-7.441495608715116,0.29995024679187643,24.80909980340331,-0.14350794809144043
bee,0.25,0.08333333333333333,0.6666666666666666,0.6896551724137931,Korean,nouns,animals,-0.20560078694684175,0.7463851810164157,-8.335866914025216,0.2997886897462518,27.80580855495546,-0.20560078694684175
belly button,0.5,0.6923076923076923,0.6666666666666666,0.7586206896551724,Korean,nouns,body_parts,-0.18421677609650824,0.8648017748984381,-6.720739487924108,0.29988926385164755,22.41073722215276,-0.18421677609650824
belt,0.42857142857142855,0.1111111111111111,0.6666666666666666,0.6206896551724138,Korean,nouns,clothing,-1.4551529404889745,0.7661212799967533,-9.881155289693083,0.299707501506065,32.969329229462495,-1.4551529404889745
bicycle,0.75,0.6111111111111112,0.5,0.6428571428571429,Korean,nouns,vehicles,0.6178875359547884,0.7562532305065841,-6.9971432447853825,0.29992447628682306,23.32968396381858,0.6178875359547884
bird,0.125,0.38461538461538464,1,0.7586206896551724,Korean,nouns,animals,1.034124945205912,0.8648017748984381,-6.839508813245086,0.29999317219559885,22.798881598497353,1.034124945205912
blanket,0.25,0.1111111111111111,0.7142857142857143,0.5517241379310345,Korean,nouns,furniture_rooms,-0.10526788217581844,0.8648017748984381,-6.730583663956834,0.3000130916254454,22.434299875019132,-0.10526788217581844
boat,0.375,0.2857142857142857,0.5,0.6428571428571429,Korean,nouns,vehicles,1.0218168881863003,0.7957254284672582,-7.180993166918064,0.29998010428512345,23.938231450485507,1.0218168881863003
boat,0.375,0.2857142857142857,0.5,0.8275862068965517,Korean,nouns,vehicles,1.0218168881863003,0.7957254284672582,-7.180993166918064,0.29998010428512345,23.938231450485507,1.0218168881863003
book,0.375,0.21428571428571427,0.4,0.4827586206896552,Korean,nouns,toys,2.1058137925109364,0.7661212799967533,-6.115371316132961,0.2999886723967962,20.385340777281534,2.1058137925109364
bottle,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.7241379310344828,Korean,nouns,household,-0.6214317735623528,0.7759893294869216,-8.956044951085874,0.2997943013060793,29.87396662334175,-0.6214317735623528
boulder,0.5454545454545454,0.5,0.18181818181818185,0.4827586206896552,Korean,nouns,outside,0.4873685887894179,0.5391561417228768,-10.010236813664218,0.29976421932690944,33.3937013434799,0.4873685887894179
bowl,0.7777777777777778,1,0.42857142857142855,0.6206896551724138,Korean,nouns,household,-0.8771861518327679,0.7365171315262474,-8.020106927340908,0.2996978077539357,26.760645956829116,-0.8771861518327679
box,0.7142857142857143,0.9090909090909092,0.6666666666666666,0.7241379310344828,Korean,nouns,household,-0.2992193631765605,0.7661212799967533,-8.93323220661993,0.2997160475048877,29.805651986232903,-0.2992193631765605
broom,0.625,0.625,1,0.7241379310344828,Korean,nouns,household,-0.6214317735623528,0.7562532305065841,-9.106706525793124,0.2996706579763373,30.389049723087037,-0.6214317735623528
bunny,0.3,0.2,0.3,0.7586206896551724,Korean,nouns,animals,1.556708921620931,0.8351976264279324,-6.585307481756473,0.29999708184961416,21.951238462571546,1.556708921620931
bus,0.5,0.7,0.875,0.5714285714285714,Korean,nouns,vehicles,0.8434558718308552,0.7661212799967533,-6.833337164160364,0.3000318361304114,22.775373614652665,0.8434558718308552
butt,0.25,0.631578947368421,0.5,0.7586206896551724,Korean,nouns,body_parts,-1.0179379430231297,0.6181005376442251,-7.873203591556026,0.29969162711553876,26.27101620199988,-1.0179379430231297
butterfly,0.375,0.2,0.375,0.6896551724137931,Korean,nouns,animals,0.28377349118499595,0.7957254284672582,-6.794504584306071,0.3000304604209658,22.646049253708636,0.28377349118499595
button,0.375,0.5,0.5,0.6551724137931034,Korean,nouns,clothing,-0.472325318395335,0.825329576937764,-7.695359361592384,0.29987820514224317,25.661616048229295,-0.472325318395335
cake,0.1111111111111111,0.2222222222222222,0.4166666666666667,0.4827586206896552,Korean,nouns,food_drink,0.08540119119923828,0.6773088345852358,-7.523857531416922,0.29996999291191473,25.08203390072513,0.08540119119923828
camera,0.5,0.1111111111111111,0.4,0.7241379310344828,Korean,nouns,household,-0.37985255157905035,0.8648017748984381,-8.113794818557395,0.2997555734200112,27.068036553864225,-0.37985255157905035
carrot,0.3333333333333333,0.3,0.2222222222222222,0.4482758620689655,Korean,nouns,food_drink,0.8557041772368528,0.8648017748984381,-7.620285015910525,0.299666103833995,25.429252486066652,0.8557041772368528
chair,0.7,0.7,0.8571428571428571,0.6551724137931034,Korean,nouns,furniture_rooms,-0.16353400812956995,0.45034369631136023,-6.772634800343235,0.29999956564897434,22.575482020090018,-0.16353400812956995
cheek,0.125,0.25,0.4,0.7037037037037037,Korean,nouns,body_parts,-0.7621835647527156,0.6970449335655733,-5.2258380179162804,0.16407301466188076,31.850685676042517,-0.7621835647527156
chicken (animal),0.25,0.1111111111111111,0.2857142857142857,0.6551724137931034,Korean,nouns,animals,-0.2992193631765605,0.6674407850950675,-7.431334687350717,0.2998240108175436,24.785655648749955,-0.2992193631765605
chin,0.5,0.6,0.5,0.8620689655172413,Korean,nouns,body_parts,-1.1021652602875218,0.7562532305065841,-5.689575253270294,0.19490491457557751,29.191543300279736,-1.1021652602875218
chopstick,0.5,0.7777777777777778,0.8,0.7241379310344828,Korean,nouns,household,-0.8771861518327679,0.7957254284672582,-7.7398585566111455,0.29982924841560304,25.814221252633352,-0.8771861518327679
clock,0.3,0.4,0.75,0.6896551724137931,Korean,nouns,household,0.515722481702046,0.8648017748984381,-7.176912076168951,0.29995665702312585,23.92649707259416,0.515722481702046
closet,0.26666666666666666,0.4545454545454546,0.9090909090909092,0.7241379310344828,Korean,nouns,furniture_rooms,-1.3144011492986123,0.6970449335655733,-8.738554944482182,0.2997217716340018,29.15555615743878,-1.3144011492986123
coat,0.2307692307692308,0.5,0.75,0.5862068965517241,Korean,nouns,clothing,-1.1021652602875218,0.8351976264279324,-6.07400582281351,0.1778276526840568,34.15670021582688,-1.1021652602875218
comb (object),0.7,0.625,0.5714285714285714,0.7586206896551724,Korean,nouns,household,-0.9436441839481464,0.8648017748984381,-7.381483873441794,0.299808807956894,24.620637144533426,-0.9436441839481464
couch,0.625,0.6666666666666666,0.875,0.6896551724137931,Korean,nouns,furniture_rooms,-0.5064291864823017,0.578628339683551,-8.183247627778323,0.2994770927109331,27.32512044143928,-0.5064291864823017
cow,0.3,0.38461538461538464,0.2,0.6896551724137931,Korean,nouns,animals,0.38528320209707745,0.825329576937764,-7.0085165204274125,0.2998355213398721,23.374537109907862,0.38528320209707745
crocodile,0.38461538461538464,0.2222222222222222,0.5,0.6896551724137931,Korean,nouns,animals,0.3937500125596981,0.6970449335655733,-7.166230886172681,0.2999520519743416,23.89125474889464,0.3937500125596981
cup,0.7,0.7777777777777778,0.5714285714285714,0.6896551724137931,Korean,nouns,household,0.1627348015005936,0.8648017748984381,-6.495299576930985,0.29993038166157743,21.65602411115481,0.1627348015005936
deer,0.375,0.15384615384615383,0.4545454545454546,0.6896551724137931,Korean,nouns,animals,-0.14350794809144043,0.7266490820360791,-8.36408429882736,0.29972661548311946,27.90571096045497,-0.14350794809144043
diaper,0.2222222222222222,0.21428571428571427,0.25,0.6206896551724138,Korean,nouns,clothing,0.37670119340408553,0.687176884075405,-6.792411998471811,0.2997826378273451,22.65778981631281,0.37670119340408553
doll,0.5555555555555556,0.4545454545454546,0.75,0.5172413793103449,Korean,nouns,toys,0.7209884886508405,0.8648017748984381,-6.906810439520313,0.29985404334920146,23.03390797194233,0.7209884886508405
donut,0.6666666666666666,0.625,0.6666666666666666,0.5862068965517241,Korean,nouns,food_drink,-0.9436441839481464,0.7957254284672582,-9.781935407858892,0.29968766945588643,32.64043337391557,-0.9436441839481464
door,0.6,0.6363636363636364,1,0.5862068965517241,Korean,nouns,furniture_rooms,0.8309650100255427,0.6773088345852358,-6.65537873946845,0.29996733788220903,22.187011380825332,0.8309650100255427
