_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block
683a48799a4a688b481a134f,8016,instructions,0,8025,0,0,,,
683a48799a4a688b481a1351,25828,html-button-response,1,33860,0,0,0,,
683a48799a4a688b481a1355,5059,survey-multi-choice,3,49977,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category
683a48799a4a688b481a1359,3805,survey-multi-choice,5,64126,0,0,"{""Q0"":""material""}",steak,category_organization
683a48799a4a688b481a1353,8650,survey-multi-choice,2,42518,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category
683a48799a4a688b481a1357,8796,survey-multi-choice,4,60317,0,0,"{""Q0"":""shape""}",shovel,category_organization
683a48799a4a688b481a135b,5447,survey-multi-choice,6,69577,0,0,"{""Q0"":""material""}",radish,category_organization
683a48799a4a688b481a135d,3838,survey-multi-choice,7,73420,0,0,"{""Q0"":""shape""}",puzzle,category_organization
683a48799a4a688b481a135f,4758,survey-multi-choice,8,78182,0,0,"{""Q0"":""shape""}",finger,category_organization
683a48799a4a688b481a1361,2785,survey-multi-choice,9,80972,0,0,"{""Q0"":""material""}",bush,category_organization
683a48799a4a688b481a1363,3522,survey-multi-choice,10,84497,0,0,"{""Q0"":""material""}",yogurt drink,category_organization
683a48799a4a688b481a1365,4220,survey-multi-choice,11,88720,0,0,"{""Q0"":""material""}",sponge,category_organization
683a48799a4a688b481a1367,5513,survey-multi-choice,12,94236,0,0,"{""Q0"":""shape""}",closet,category_organization
683a487a9a4a688b481a1369,14343,survey-multi-choice,13,108583,0,0,"{""Q0"":""shape""}",pocket,category_organization
683a487a9a4a688b481a136b,3404,survey-multi-choice,14,111991,0,0,"{""Q0"":""color""}",lavender,attention_category
683a487a9a4a688b481a136d,2472,instructions,15,114465,0,0,,,
683a488d9a4a688b481a136f,1520,instructions,0,1521,0,0,,,
683a488e9a4a688b481a1371,14236,html-button-response,1,15759,0,0,0,,
683a488e9a4a688b481a1373,4310,survey-multi-choice,2,20071,0,0,"{""Q0"":""shape""}","In the sentence [this is a square table], a 'square' belongs to a category that is organized by:",practice_category
683a488e9a4a688b481a1375,3503,survey-multi-choice,6,38557,0,0,"{""Q0"":""none of these""}",sleeve,category_organization
683a488e9a4a688b481a1377,3462,survey-multi-choice,3,24639,0,0,"{""Q0"":""color""}","In the sentence [this is a red table], 'red' belongs to a category that is organized by:",practice_category
683a488e9a4a688b481a1379,4731,survey-multi-choice,4,30604,0,0,"{""Q0"":""none of these""}",tractor,category_organization
683a488e9a4a688b481a137b,4448,survey-multi-choice,5,35053,0,0,"{""Q0"":""none of these""}",yogurt,category_organization
683a488e9a4a688b481a137d,2755,survey-multi-choice,7,41313,0,0,"{""Q0"":""none of these""}",light,category_organization
683a488e9a4a688b481a137f,2668,survey-multi-choice,8,43983,0,0,"{""Q0"":""none of these""}",whale,category_organization
683a488e9a4a688b481a1381,2251,survey-multi-choice,9,46235,0,0,"{""Q0"":""none of these""}",phone,category_organization
683a488e9a4a688b481a1383,3494,survey-multi-choice,12,53685,0,0,"{""Q0"":""none of these""}",hair dryer,category_organization
683a488e9a4a688b481a1385,2375,survey-multi-choice,10,48610,0,0,"{""Q0"":""none of these""}",eagle,category_organization
683a488e9a4a688b481a1387,1578,survey-multi-choice,11,50189,0,0,"{""Q0"":""none of these""}",turtle,category_organization
683a488e9a4a688b481a1389,2053,survey-multi-choice,13,55739,0,0,"{""Q0"":""none of these""}",bathtub,category_organization
683a488e9a4a688b481a138b,2432,survey-multi-choice,15,60259,0,0,"{""Q0"":""none of these""}",patio,category_organization
683a488e9a4a688b481a138d,2086,survey-multi-choice,14,57826,0,0,"{""Q0"":""none of these""}",boots,category_organization
683a488e9a4a688b481a138f,2868,survey-multi-choice,16,63128,0,0,"{""Q0"":""none of these""}",tofu,category_organization
683a488e9a4a688b481a1391,4476,survey-multi-choice,18,68910,0,0,"{""Q0"":""none of these""}",fly (animal),category_organization
683a488e9a4a688b481a1393,1304,survey-multi-choice,17,64433,0,0,"{""Q0"":""none of these""}",honey,category_organization
683a488e9a4a688b481a1395,2744,survey-multi-choice,19,71654,0,0,"{""Q0"":""none of these""}",frog,category_organization
683a488e9a4a688b481a1397,7324,survey-multi-choice,20,78980,0,0,"{""Q0"":""none of these""}",ice cream,category_organization
