Word,block,response,totcount,theword,proportion
Animal,category_organization,Form,29,동물,0.5862068965517241
Animal,category_organization,"Form, Color",29,동물,0.06896551724137931
Animal,category_organization,"Form, Color, Material",29,동물,0.13793103448275862
Animal,category_organization,"Form, Material",29,동물,0.10344827586206896
Animal,category_organization,Material,29,동물,0.034482758620689655
Animal,category_organization,Not applicable,29,동물,0.06896551724137931
Animal,count_mass,Can be counted,37,동물,0.6756756756756757
Animal,count_mass,Cannot be counted,37,동물,0.02702702702702703
Animal,count_mass,I don't know/It's hard to say,37,동물,0.2972972972972973
Animal,solidity,I don't know/It's hard to say,32,동물,0.34375
Animal,solidity,Not a solid,32,동물,0.09375
Animal,solidity,Solid,32,동물,0.5625
Ankle,category_organization,Form,29,발목,0.8620689655172413
Ankle,category_organization,"Form, Material",29,발목,0.10344827586206896
Ankle,category_organization,Material,29,발목,0.034482758620689655
Ankle,count_mass,Can be counted,36,발목,0.8055555555555556
Ankle,count_mass,I don't know/It's hard to say,36,발목,0.19444444444444445
Ankle,solidity,I don't know/It's hard to say,29,발목,0.2413793103448276
Ankle,solidity,Not a solid,29,발목,0.10344827586206896
Ankle,solidity,Solid,29,발목,0.6551724137931034
Ant,category_organization,Color,29,개미,0.034482758620689655
Ant,category_organization,Form,29,개미,0.6206896551724138
Ant,category_organization,"Form, Color",29,개미,0.10344827586206896
Ant,category_organization,"Form, Color, Material",29,개미,0.10344827586206896
Ant,category_organization,"Form, Material",29,개미,0.10344827586206896
Ant,category_organization,Material,29,개미,0.034482758620689655
Ant,count_mass,Can be counted,37,개미,0.7027027027027027
Ant,count_mass,Cannot be counted,37,개미,0.08108108108108109
Ant,count_mass,I don't know/It's hard to say,37,개미,0.21621621621621623
Ant,solidity,I don't know/It's hard to say,29,개미,0.27586206896551724
Ant,solidity,Not a solid,29,개미,0.10344827586206896
Ant,solidity,Solid,29,개미,0.6206896551724138
Anus,category_organization,Form,29,똥꼬,0.7586206896551724
Anus,category_organization,"Form, Color",29,똥꼬,0.034482758620689655
Anus,category_organization,"Form, Material",29,똥꼬,0.13793103448275862
Anus,category_organization,Material,29,똥꼬,0.034482758620689655
Anus,category_organization,Not applicable,29,똥꼬,0.034482758620689655
Anus,count_mass,Can be counted,38,똥꼬,0.6842105263157895
Anus,count_mass,Cannot be counted,38,똥꼬,0.07894736842105263
Anus,count_mass,I don't know/It's hard to say,38,똥꼬,0.23684210526315788
Anus,solidity,I don't know/It's hard to say,29,똥꼬,0.3103448275862069
Anus,solidity,Not a solid,29,똥꼬,0.10344827586206896
Anus,solidity,Solid,29,똥꼬,0.5862068965517241
Apple,category_organization,Form,29,사과,0.4482758620689655
Apple,category_organization,"Form, Color",29,사과,0.13793103448275862
Apple,category_organization,"Form, Color, Material",29,사과,0.1724137931034483
Apple,category_organization,"Form, Material",29,사과,0.13793103448275862
Apple,category_organization,Material,29,사과,0.10344827586206896
Apple,count_mass,Can be counted,32,사과,0.90625
Apple,count_mass,I don't know/It's hard to say,32,사과,0.09375
Apple,solidity,I don't know/It's hard to say,29,사과,0.10344827586206896
Apple,solidity,Not a solid,29,사과,0.06896551724137931
Apple,solidity,Solid,29,사과,0.8275862068965517
Arm,category_organization,Form,29,팔,0.8620689655172413
Arm,category_organization,"Form, Material",29,팔,0.10344827586206896
Arm,category_organization,Material,29,팔,0.034482758620689655
Arm,count_mass,Can be counted,35,팔,0.8285714285714286
Arm,count_mass,I don't know/It's hard to say,35,팔,0.17142857142857143
Arm,solidity,I don't know/It's hard to say,29,팔,0.20689655172413793
Arm,solidity,Not a solid,29,팔,0.10344827586206896
Arm,solidity,Solid,29,팔,0.6896551724137931
Back,category_organization,Form,29,등,0.7931034482758621
Back,category_organization,"Form, Material",29,등,0.10344827586206896
Back,category_organization,Material,29,등,0.06896551724137931
Back,category_organization,Not applicable,29,등,0.034482758620689655
Back,count_mass,Can be counted,36,등,0.5833333333333334
Back,count_mass,Cannot be counted,36,등,0.1388888888888889
Back,count_mass,I don't know/It's hard to say,36,등,0.2777777777777778
Back,solidity,I don't know/It's hard to say,32,등,0.3125
Back,solidity,Not a solid,32,등,0.09375
Back,solidity,Solid,32,등,0.59375
Bag,category_organization,Form,29,가방,0.6551724137931034
Bag,category_organization,"Form, Color",29,가방,0.034482758620689655
Bag,category_organization,"Form, Color, Material",29,가방,0.13793103448275862
Bag,category_organization,"Form, Material",29,가방,0.13793103448275862
Bag,category_organization,Material,29,가방,0.034482758620689655
Bag,count_mass,Can be counted,30,가방,0.9666666666666667
Bag,count_mass,I don't know/It's hard to say,30,가방,0.03333333333333333
Bag,solidity,I don't know/It's hard to say,29,가방,0.034482758620689655
Bag,solidity,Solid,29,가방,0.9655172413793104
Ball,category_organization,Color,29,공,0.034482758620689655
Ball,category_organization,Form,29,공,0.6206896551724138
Ball,category_organization,"Form, Color, Material",29,공,0.06896551724137931
Ball,category_organization,"Form, Material",29,공,0.20689655172413793
Ball,category_organization,Material,29,공,0.06896551724137931
Ball,count_mass,Can be counted,31,공,0.9032258064516129
Ball,count_mass,I don't know/It's hard to say,31,공,0.0967741935483871
Ball,solidity,I don't know/It's hard to say,30,공,0.1
Ball,solidity,Solid,30,공,0.9
Balloon,category_organization,Color,29,풍선,0.034482758620689655
Balloon,category_organization,Form,29,풍선,0.3793103448275862
Balloon,category_organization,"Form, Color",29,풍선,0.034482758620689655
Balloon,category_organization,"Form, Color, Material",29,풍선,0.13793103448275862
Balloon,category_organization,"Form, Material",29,풍선,0.3103448275862069
Balloon,category_organization,Material,29,풍선,0.10344827586206896
