theword,block,response,totcount,eng_response,proportion
가방,category_organization,형태,3,form,1
가방,category_organization,형태,3,form,1
가방,category_organization,형태,3,form,1
가방,count_mass,셀 수 있다,1,countable,1
가방,solidity,고형물,2,solid,1
가방,solidity,고형물,2,solid,1
가위,category_organization,물질,1,substance,1
가위,count_mass,셀 수 있다,2,countable,1
가위,count_mass,셀 수 있다,2,countable,1
감,category_organization,물질,4,substance,0.25
감,category_organization,형태,4,form,0.75
감,category_organization,형태,4,form,0.75
감,category_organization,형태,4,form,0.75
감,count_mass,셀 수 있다,1,countable,1
감,solidity,고형물,3,solid,0.6666666666666666
감,solidity,고형물,3,solid,0.6666666666666666
감,solidity,비고형물,3,non-solid,0.3333333333333333
감자,category_organization,물질,1,substance,1
감자,count_mass,셀 수 있다,3,countable,1
감자,count_mass,셀 수 있다,3,countable,1
감자,count_mass,셀 수 있다,3,countable,1
개,category_organization,물질,3,substance,0.3333333333333333
개,category_organization,색상,3,color,0.3333333333333333
개,category_organization,형태,3,form,0.3333333333333333
개,count_mass,셀 수 없다,4,uncountable,0.25
개,count_mass,셀 수 있다,4,countable,0.75
개,count_mass,셀 수 있다,4,countable,0.75
개,count_mass,셀 수 있다,4,countable,0.75
개,solidity,고형물,2,solid,1
개,solidity,고형물,2,solid,1
개구리,category_organization,색상,2,color,0.5
개구리,category_organization,형태,2,form,0.5
개구리,count_mass,셀 수 있다,1,countable,1
개구리,solidity,고형물,4,solid,0.75
개구리,solidity,고형물,4,solid,0.75
개구리,solidity,고형물,4,solid,0.75
개구리,solidity,해당 사항 없음,4,not applicable,0.25
개미,count_mass,셀 수 있다,2,countable,1
개미,count_mass,셀 수 있다,2,countable,1
거북이,count_mass,셀 수 있다,2,countable,1
거북이,count_mass,셀 수 있다,2,countable,1
거북이,solidity,고형물,2,solid,1
거북이,solidity,고형물,2,solid,1
걸레,count_mass,셀 수 있다,2,countable,1
걸레,count_mass,셀 수 있다,2,countable,1
걸레,solidity,고형물,1,solid,1
계단,category_organization,형태,2,form,1
계단,category_organization,형태,2,form,1
계단,count_mass,셀 수 없다,3,uncountable,0.3333333333333333
계단,count_mass,셀 수 있다,3,countable,0.6666666666666666
계단,count_mass,셀 수 있다,3,countable,0.6666666666666666
계란/달걀,category_organization,물질,2,substance,1
계란/달걀,category_organization,물질,2,substance,1
고구마,count_mass,셀 수 있다,5,countable,1
고구마,count_mass,셀 수 있다,5,countable,1
고구마,count_mass,셀 수 있다,5,countable,1
고구마,count_mass,셀 수 있다,5,countable,1
고구마,count_mass,셀 수 있다,5,countable,1
고구마,solidity,고형물,1,solid,1
고기,category_organization,물질,1,substance,1
고기,count_mass,셀 수 없다,2,uncountable,0.5
고기,count_mass,셀 수 있다,2,countable,0.5
고기,solidity,고형물,3,solid,1
고기,solidity,고형물,3,solid,1
고기,solidity,고형물,3,solid,1
고양이,count_mass,셀 수 없다,3,uncountable,0.3333333333333333
고양이,count_mass,셀 수 있다,3,countable,0.6666666666666666
고양이,count_mass,셀 수 있다,3,countable,0.6666666666666666
고양이,solidity,고형물,2,solid,1
고양이,solidity,고형물,2,solid,1
고추,category_organization,물질,3,substance,0.3333333333333333
고추,category_organization,형태,3,form,0.6666666666666666
고추,category_organization,형태,3,form,0.6666666666666666
고추,count_mass,셀 수 있다,3,countable,1
고추,count_mass,셀 수 있다,3,countable,1
고추,count_mass,셀 수 있다,3,countable,1
고추,solidity,고형물,1,solid,1
곰,category_organization,해당 사항 없음,1,not applicable,1
곰,count_mass,셀 수 없다,2,uncountable,0.5
곰,count_mass,셀 수 있다,2,countable,0.5
곰,solidity,고형물,1,solid,1
공룡,category_organization,해당 사항 없음,3,not applicable,0.6666666666666666
공룡,category_organization,해당 사항 없음,3,not applicable,0.6666666666666666
공룡,category_organization,형태,3,form,0.3333333333333333
공룡,count_mass,셀 수 있다,1,countable,1
공룡,solidity,고형물,1,solid,1
과일,category_organization,물질,4,substance,0.5
과일,category_organization,물질,4,substance,0.5
과일,category_organization,형태,4,form,0.5
과일,category_organization,형태,4,form,0.5
과일,solidity,고형물,2,solid,1
과일,solidity,고형물,2,solid,1
구두,category_organization,물질,3,substance,0.3333333333333333
구두,category_organization,형태,3,form,0.6666666666666666
구두,category_organization,형태,3,form,0.6666666666666666
구두,count_mass,셀 수 있다,2,countable,1
구두,count_mass,셀 수 있다,2,countable,1
구두,solidity,고형물,2,solid,0.5
구두,solidity,비고형물,2,non-solid,0.5
구름,count_mass,셀 수 없다,2,uncountable,0.5
구름,count_mass,셀 수 있다,2,countable,0.5
구름,solidity,고형물,5,solid,0.2
구름,solidity,비고형물,5,non-solid,0.6
구름,solidity,비고형물,5,non-solid,0.6
구름,solidity,비고형물,5,non-solid,0.6
구름,solidity,해당 사항 없음,5,not applicable,0.2
국,category_organization,물질,2,substance,0.5
국,category_organization,형태,2,form,0.5
국,solidity,비고형물,1,non-solid,1
국수,category_organization,형태,1,form,1
국수,count_mass,셀 수 없다,3,uncountable,0.3333333333333333
국수,count_mass,셀 수 있다,3,countable,0.6666666666666666
국수,count_mass,셀 수 있다,3,countable,0.6666666666666666
국수,solidity,고형물,2,solid,1
국수,solidity,고형물,2,solid,1
귀,count_mass,셀 수 있다,3,countable,1
귀,count_mass,셀 수 있다,3,countable,1
귀,count_mass,셀 수 있다,3,countable,1
귀,solidity,고형물,4,solid,0.75
귀,solidity,고형물,4,solid,0.75
귀,solidity,고형물,4,solid,0.75
귀,solidity,비고형물,4,non-solid,0.25
귤,category_organization,색상,3,color,0.3333333333333333
귤,category_organization,형태,3,form,0.6666666666666666
귤,category_organization,형태,3,form,0.6666666666666666
귤,count_mass,셀 수 있다,2,countable,1
귤,count_mass,셀 수 있다,2,countable,1
그네,category_organization,물질,1,substance,1
그릇,category_organization,물질,2,substance,0.5
그릇,category_organization,해당 사항 없음,2,not applicable,0.5
그릇,count_mass,셀 수 있다,4,countable,1
그릇,count_mass,셀 수 있다,4,countable,1
그릇,count_mass,셀 수 있다,4,countable,1
그릇,count_mass,셀 수 있다,4,countable,1
그릇,solidity,고형물,4,solid,1
그릇,solidity,고형물,4,solid,1
그릇,solidity,고형물,4,solid,1
그릇,solidity,고형물,4,solid,1
그림,category_organization,해당 사항 없음,2,not applicable,0.5
그림,category_organization,형태,2,form,0.5
그림,count_mass,셀 수 있다,2,countable,1
그림,count_mass,셀 수 있다,2,countable,1
그림,solidity,고형물,2,solid,1
그림,solidity,고형물,2,solid,1
기린,category_organization,해당 사항 없음,2,not applicable,0.5
기린,category_organization,형태,2,form,0.5
기린,solidity,고형물,3,solid,1
기린,solidity,고형물,3,solid,1
기린,solidity,고형물,3,solid,1
기저귀,category_organization,물질,4,substance,0.75
기저귀,category_organization,물질,4,substance,0.75
기저귀,category_organization,물질,4,substance,0.75
기저귀,category_organization,형태,4,form,0.25
기저귀,solidity,고형물,4,solid,1
기저귀,solidity,고형물,4,solid,1
기저귀,solidity,고형물,4,solid,1
기저귀,solidity,고형물,4,solid,1
기차,category_organization,물질,3,substance,0.3333333333333333
기차,category_organization,해당 사항 없음,3,not applicable,0.3333333333333333
기차,category_organization,형태,3,form,0.3333333333333333
기차,count_mass,셀 수 없다,2,uncountable,0.5
기차,count_mass,셀 수 있다,2,countable,0.5
기차,solidity,고형물,1,solid,1
길,category_organization,형태,3,form,1
