_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,response_format,word_order,condition_code,__v,response,block,theword,semantic_category
ROW37789,55155,instructions,0,55157,0,,,,multi_select,semantic_blocked,ms_blocked,0,,,,
ROW37790,10402,html-button-response,1,65569,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,condition_banner,,
ROW37791,1147,html-button-response,2,66717,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,precautions_survey,,
ROW37792,747,html-button-response,3,67466,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,vocabulary_classification_criteria,,
ROW37795,1652,survey-multi-select,6,71275,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,cook,toys
ROW37796,1288,survey-multi-select,7,72567,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,music,toys
ROW37797,765,html-button-response,8,73333,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,animals
ROW37798,1481,survey-multi-select,9,74816,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,chicken (animal),animals
ROW37793,982,html-button-response,4,68449,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,lavender_instruction,,
ROW37799,1364,survey-multi-select,10,76183,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,deer,animals
ROW37794,1166,html-button-response,5,69616,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,toys
ROW37800,1332,survey-multi-select,11,77517,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,dragon,animals
ROW37801,1231,survey-multi-select,12,78750,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,fox,animals
ROW37802,832,html-button-response,13,79583,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,clothing
ROW37803,1197,survey-multi-select,14,80782,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,coat,clothing
ROW37804,1315,survey-multi-select,15,82099,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,mask,clothing
ROW37805,1298,survey-multi-select,16,83399,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,overalls,clothing
ROW37806,783,html-button-response,17,84183,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,furniture_rooms
ROW37807,1232,survey-multi-select,18,85417,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,living room,furniture_rooms
ROW37808,765,html-button-response,19,86182,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,food_drink
ROW37809,1332,survey-multi-select,20,87516,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,grapes,food_drink
ROW37810,1265,survey-multi-select,21,88783,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,shrimp,food_drink
ROW37811,783,html-button-response,22,89566,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,body_parts
ROW37812,1331,survey-multi-select,23,90899,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,leg,body_parts
ROW37813,783,html-button-response,25,93783,0,,,,multi_select,semantic_blocked,ms_blocked,0,0,category_section_intro,,household
ROW37814,2098,survey-multi-select,24,93000,0,,,,multi_select,semantic_blocked,ms_blocked,0,"{""Q0"":[""none of these""]}",category_organization_2x2,tummy,body_parts
