_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block
ROW28653,5022,instructions,0,5029,0,P1517,STUDY0007,SESS1122,0,,,
ROW28654,4541,instructions,1,9570,0,P1517,STUDY0007,SESS1122,0,,,
ROW28655,4077,html-button-response,6,40346,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28656,7870,html-button-response,2,17443,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28657,3528,html-button-response,5,36268,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28658,8072,html-button-response,4,32739,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28659,7222,html-button-response,3,24666,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28660,8614,survey-multi-select,7,48963,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",happiness,practice_category
ROW28661,1534,html-button-response,8,50498,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28662,4862,survey-multi-select,9,55362,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""shape""]}",square,practice_category
ROW28663,1031,html-button-response,12,62402,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28664,711,html-button-response,10,56074,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28665,5295,survey-multi-select,11,61370,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""color""]}",red,practice_category
ROW28666,7142,survey-multi-select,13,69546,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",pottery,practice_category
ROW28667,3055,html-button-response,14,72602,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28668,2127,html-button-response,15,74730,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28669,4006,survey-multi-select,16,78738,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",broccoli,category_organization
ROW28670,5134,survey-multi-select,17,83874,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",chick,category_organization
ROW28671,2590,survey-multi-select,18,86466,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",dress shoe,category_organization
ROW28672,1791,survey-multi-select,19,88259,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",lavender,category_organization
ROW28673,2079,survey-multi-select,20,90340,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",coke,category_organization
ROW28674,1998,survey-multi-select,24,99747,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",croquette,category_organization
ROW28675,3525,survey-multi-select,21,93866,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""material""]}",soap,category_organization
ROW28677,2118,survey-multi-select,23,97746,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",peas,category_organization
ROW28676,1758,survey-multi-select,22,95626,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",gloves,category_organization
ROW28678,1486,survey-multi-select,25,101234,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",popcorn,category_organization
ROW28679,5583,survey-multi-select,26,106819,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""shape""]}",bowl,category_organization
ROW28680,1520,survey-multi-select,28,110636,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",coffee,category_organization
ROW28681,2293,survey-multi-select,27,109114,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",sweater,category_organization
ROW28682,2717,survey-multi-select,29,113354,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",samosa,category_organization
ROW28683,2062,survey-multi-select,30,115418,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",watermelon,category_organization
ROW28684,1726,survey-multi-select,31,117146,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",toilet paper,category_organization
ROW28685,1447,survey-multi-select,32,118594,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",tea,category_organization
ROW28687,1870,survey-multi-select,33,120466,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",mirror,category_organization
ROW28688,1694,survey-multi-select,35,124562,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",guava,category_organization
ROW28686,2398,survey-multi-select,34,122866,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",stairs,category_organization
ROW28689,1263,survey-multi-select,36,125827,0,P1517,STUDY0007,SESS1122,0,"{""Q0"":[""none of these""]}",cracker,category_organization
ROW28690,743,html-button-response,37,126570,0,P1517,STUDY0007,SESS1122,0,0,,
ROW28691,5119,instructions,38,131690,0,P1517,STUDY0007,SESS1122,0,,,
ROW28692,1576,instructions,0,1577,0,P1704,STUDY0007,SESS1109,0,,,
ROW28693,1347,instructions,1,2925,0,P1704,STUDY0007,SESS1109,0,,,
ROW28695,3638,html-button-response,5,29588,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28694,9569,html-button-response,2,12495,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28696,4101,html-button-response,6,33689,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28697,7556,html-button-response,4,25949,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28698,5897,html-button-response,3,18393,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28699,6659,survey-multi-select,7,40350,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape""]}",square,practice_category
ROW28700,1257,html-button-response,8,41607,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28701,5337,survey-multi-select,9,46945,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""color""]}",red,practice_category
ROW28702,5217,html-button-response,10,52163,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28703,10335,survey-multi-select,11,62499,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",pottery,practice_category
ROW28704,1116,html-button-response,12,63616,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28705,4992,survey-multi-select,13,68609,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",happiness,practice_category
ROW28706,864,html-button-response,14,69474,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28707,2051,html-button-response,15,71525,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28708,3936,survey-multi-select,19,94800,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",trash,category_organization
ROW28709,5214,survey-multi-select,20,100015,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",pen/pencil,category_organization
ROW28710,2777,survey-multi-select,21,102792,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",wombat,category_organization
ROW28711,2810,survey-multi-select,23,110100,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",rag,category_organization
ROW28712,4496,survey-multi-select,22,107289,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",pork,category_organization
ROW28713,6314,survey-multi-select,24,116415,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape"",""color"",""material""]}",painting,category_organization
ROW28714,3222,survey-multi-select,18,90863,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",brain,category_organization
ROW28715,7595,survey-multi-select,16,79121,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",doorbell,category_organization
ROW28716,3090,survey-multi-select,25,119506,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape""]}",bandaid,category_organization
ROW28717,2522,survey-multi-select,26,122029,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",sour cream,category_organization
ROW28718,2165,survey-multi-select,27,124195,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",trash,category_organization
ROW28719,4215,survey-multi-select,28,128411,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape"",""material""]}",tram,category_organization
ROW28720,2388,survey-multi-select,29,130800,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",seagull,category_organization
ROW28721,8518,survey-multi-select,17,87640,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape""]}",coin,category_organization
ROW28722,2815,survey-multi-select,30,133616,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",bathroom,category_organization
ROW28723,3853,survey-multi-select,31,137470,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape""]}",chin,category_organization
ROW28724,6485,survey-multi-select,32,143956,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""shape"",""material""]}",ship,category_organization
ROW28725,2155,survey-multi-select,33,146112,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",lavender,category_organization
ROW28726,4185,survey-multi-select,34,150298,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""material""]}",towel,category_organization
ROW28727,2769,survey-multi-select,35,153068,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",crocodile,category_organization
ROW28728,2328,survey-multi-select,36,155397,0,P1704,STUDY0007,SESS1109,0,"{""Q0"":[""none of these""]}",crow,category_organization
ROW28729,1073,html-button-response,37,156471,0,P1704,STUDY0007,SESS1109,0,0,,
ROW28730,1672,instructions,38,158143,0,P1704,STUDY0007,SESS1109,0,,,
ROW28731,2515,instructions,0,2516,0,P0095,STUDY0007,SESS1118,0,,,
ROW28732,8911,html-button-response,2,14331,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28733,3338,html-button-response,3,17670,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28734,27980,html-button-response,4,45651,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28735,2903,instructions,1,5419,0,P0095,STUDY0007,SESS1118,0,,,
ROW28736,4733,html-button-response,6,54139,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28737,3754,html-button-response,5,49405,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28738,5984,survey-multi-select,7,60125,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",happiness,practice_category
ROW28739,1706,html-button-response,8,61833,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28740,5335,survey-multi-select,9,67170,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",square,practice_category
ROW28741,3663,html-button-response,10,70833,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28742,5765,survey-multi-select,11,76599,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""material""]}",pottery,practice_category
ROW28743,736,html-button-response,12,77336,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28744,3421,survey-multi-select,13,80757,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""color""]}",red,practice_category
ROW28745,625,html-button-response,14,81383,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28746,3110,html-button-response,15,84494,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28747,2741,survey-multi-select,16,87236,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""material""]}",rice,category_organization
ROW28748,5269,survey-multi-select,17,92506,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",cell phone,category_organization
ROW28749,7087,survey-multi-select,18,99594,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",umbrella,category_organization
ROW28750,4966,survey-multi-select,19,104561,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",clam,category_organization
ROW28751,3041,survey-multi-select,20,107603,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",panda,category_organization
ROW28752,3175,survey-multi-select,21,110779,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",fly (animal),category_organization
ROW28753,3480,survey-multi-select,22,114261,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""material""]}",liver (food),category_organization
ROW28754,3420,survey-multi-select,25,123717,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""material""]}",glass,category_organization
ROW28755,4789,survey-multi-select,26,128507,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",headband,category_organization
ROW28756,3533,survey-multi-select,27,132041,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",body,category_organization
ROW28757,2069,survey-multi-select,28,134111,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""color""]}",strawberry,category_organization
ROW28758,2994,survey-multi-select,29,137106,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",digger,category_organization
ROW28759,4272,survey-multi-select,30,141379,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",chickpea,category_organization
ROW28760,2108,survey-multi-select,31,143489,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",ambulance,category_organization
ROW28761,3258,survey-multi-select,32,146748,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",rain,category_organization
ROW28762,2411,survey-multi-select,33,149159,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",hat,category_organization
ROW28763,3137,survey-multi-select,24,120296,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""shape""]}",tablecloth,category_organization
ROW28764,2895,survey-multi-select,23,117157,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",basement,category_organization
ROW28765,2402,survey-multi-select,34,151563,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",marker,category_organization
ROW28766,1747,survey-multi-select,35,153311,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",lavender,category_organization
ROW28767,3250,survey-multi-select,36,156562,0,P0095,STUDY0007,SESS1118,0,"{""Q0"":[""none of these""]}",robot,category_organization
ROW28768,2377,html-button-response,37,158939,0,P0095,STUDY0007,SESS1118,0,0,,
ROW28769,2096,instructions,38,161035,0,P0095,STUDY0007,SESS1118,0,,,
ROW28770,4329,instructions,0,4329,0,P1635,STUDY0007,SESS1110,0,,,
ROW28771,7196,instructions,1,11526,0,P1635,STUDY0007,SESS1110,0,,,
ROW28772,9925,html-button-response,2,21456,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28773,7646,html-button-response,3,29105,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28774,12023,html-button-response,4,41132,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28775,4216,html-button-response,6,49183,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28776,3832,html-button-response,5,44965,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28777,8388,survey-multi-select,7,57575,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""color""]}",red,practice_category
ROW28778,3874,html-button-response,8,61451,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28779,1655,html-button-response,10,71184,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28780,8076,survey-multi-select,9,69528,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""material""]}",pottery,practice_category
ROW28781,6960,survey-multi-select,11,78145,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",square,practice_category
ROW28782,1277,html-button-response,12,79423,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28783,5721,survey-multi-select,13,85146,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",happiness,practice_category
ROW28784,1238,html-button-response,14,86385,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28785,4507,html-button-response,15,90892,0,P1635,STUDY0007,SESS1110,0,0,,
ROW28786,4044,survey-multi-select,17,100412,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",mitten,category_organization
ROW28787,5473,survey-multi-select,16,96367,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",tram,category_organization
ROW28788,7742,survey-multi-select,18,108155,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""material""]}",penny,category_organization
ROW28789,5073,survey-multi-select,19,113230,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",flag,category_organization
ROW28790,3116,survey-multi-select,20,116348,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",gloves,category_organization
ROW28791,5879,survey-multi-select,21,122228,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",doorbell,category_organization
ROW28792,3066,survey-multi-select,23,129451,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""material""]}",ham,category_organization
ROW28793,4154,survey-multi-select,22,126383,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",firetruck,category_organization
ROW28794,3883,survey-multi-select,24,133335,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",pillow,category_organization
ROW28795,9232,survey-multi-select,25,142569,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",basket,category_organization
ROW28796,2124,survey-multi-select,26,144694,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",lavender,category_organization
ROW28797,5673,survey-multi-select,27,150368,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",owl,category_organization
ROW28798,2702,survey-multi-select,29,157236,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",seagull,category_organization
ROW28799,4162,survey-multi-select,28,154532,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",nail (object),category_organization
ROW28800,5462,survey-multi-select,30,162700,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",drain (object),category_organization
ROW28801,3380,survey-multi-select,31,166082,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",street,category_organization
ROW28802,7575,survey-multi-select,32,173659,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""material""]}",hot dog,category_organization
ROW28803,3652,survey-multi-select,33,177312,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""material""]}",straw,category_organization
ROW28804,3097,survey-multi-select,34,180411,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""material""]}",lizard,category_organization
ROW28805,2355,survey-multi-select,35,182768,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""shape""]}",police car,category_organization
ROW28806,4698,survey-multi-select,36,187468,0,P1635,STUDY0007,SESS1110,0,"{""Q0"":[""none of these""]}",dryer,category_organization
