_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,block,theword
ROW34986,2361,instructions,0,2363,0,P1678,STUDY0008,SESS1287,0,,,
ROW34987,3047,html-button-response,1,5411,0,P1678,STUDY0008,SESS1287,0,0,precautions_survey,
ROW34988,5182,html-button-response,2,10594,0,P1678,STUDY0008,SESS1287,0,0,vocabulary_classification_criteria,
ROW34989,2616,html-button-response,3,13212,0,P1678,STUDY0008,SESS1287,0,0,lavender_instruction,
ROW34990,3081,html-button-response,4,16295,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW34991,6077,survey-multi-select,5,22378,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""color""]}",category_organization_semblocked,firetruck
ROW34992,7313,survey-multi-select,6,29694,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""color""]}",category_organization_semblocked,police car
ROW34993,1015,html-button-response,7,30711,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW34994,765,html-button-response,9,35960,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW34995,4480,survey-multi-select,8,35194,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape""]}",category_organization_semblocked,owl
ROW34996,2432,survey-multi-select,11,43461,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape""]}",category_organization_semblocked,mitten
ROW34997,5065,survey-multi-select,10,41027,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape""]}",category_organization_semblocked,gloves
ROW34998,715,html-button-response,12,44177,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW34999,3865,survey-multi-select,13,48044,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""material"",""none of these""]}",category_organization_semblocked,dryer
ROW35000,1464,html-button-response,14,49510,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW35001,4466,survey-multi-select,15,53978,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,ham
ROW35002,2447,survey-multi-select,16,56427,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,hot dog
ROW35003,3516,survey-multi-select,18,61761,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,basket
ROW35004,1815,html-button-response,17,58243,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW35005,4364,survey-multi-select,19,66127,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,nail (object)
ROW35006,3250,survey-multi-select,21,72443,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""material""]}",category_organization_semblocked,pillow
ROW35007,3062,survey-multi-select,20,69192,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,penny
ROW35008,3599,survey-multi-select,22,76043,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape""]}",category_organization_semblocked,straw
ROW35009,881,html-button-response,23,76926,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW35010,5833,survey-multi-select,24,82760,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,doorbell
ROW35011,2597,survey-multi-select,25,85359,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape""]}",category_organization_semblocked,flag
ROW35012,3216,survey-multi-select,28,92644,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""material""]}",category_organization_semblocked,drain (object)
ROW35013,2398,survey-multi-select,26,87760,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,street
ROW35014,1665,html-button-response,27,89426,0,P1678,STUDY0008,SESS1287,0,0,category_section_intro,
ROW35015,3448,survey-multi-select,30,101810,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,seagull
ROW35016,5713,survey-multi-select,29,98360,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,lizard
ROW35017,1715,survey-multi-select,31,103527,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,tram
ROW35018,1432,instructions,34,107475,0,P1678,STUDY0008,SESS1287,0,,,
ROW35019,1814,survey-multi-select,32,105343,0,P1678,STUDY0008,SESS1287,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,lavender
ROW35020,699,html-button-response,33,106043,0,P1678,STUDY0008,SESS1287,0,0,,
